Create_Time,Bitcoin_Original,Bitcoin_RT,Total_Tweet
2021-05-20 01:44:29,118,165,283
2021-05-20 01:44:29,118,166,284
2021-05-20 01:44:29,118,167,285
2021-05-20 01:44:29,119,167,286
2021-05-20 01:44:29,120,167,287
2021-05-20 01:44:29,120,168,288
2021-05-20 01:44:30,121,168,289
2021-05-20 01:44:30,122,168,290
2021-05-20 01:44:30,123,168,291
2021-05-20 01:44:30,123,169,292
2021-05-20 01:44:30,124,169,293
2021-05-20 01:44:30,124,170,294
2021-05-20 01:44:30,124,171,295
2021-05-20 01:44:30,124,172,296
2021-05-20 01:44:30,124,173,297
2021-05-20 01:44:30,124,174,298
2021-05-20 01:44:30,124,175,299
2021-05-20 01:44:30,124,176,300
2021-05-20 01:44:30,124,177,301
2021-05-20 01:44:30,124,178,302
2021-05-20 01:44:31,124,179,303
2021-05-20 01:44:31,124,180,304
2021-05-20 01:44:31,125,180,305
2021-05-20 01:44:31,126,180,306
2021-05-20 01:44:31,127,180,307
2021-05-20 01:44:31,128,180,308
2021-05-20 01:44:32,128,181,309
2021-05-20 01:44:32,129,181,310
2021-05-20 01:44:32,129,182,311
2021-05-20 01:44:32,130,182,312
2021-05-20 01:44:32,130,183,313
2021-05-20 01:44:32,130,184,314
2021-05-20 01:44:32,131,184,315
2021-05-20 01:44:32,131,185,316
2021-05-20 01:44:32,132,185,317
2021-05-20 01:44:32,132,186,318
2021-05-20 01:44:33,132,187,319
2021-05-20 01:44:33,132,188,320
2021-05-20 01:44:33,132,189,321
2021-05-20 01:44:33,132,190,322
2021-05-20 01:44:33,132,191,323
2021-05-20 01:44:33,132,192,324
2021-05-20 01:44:33,132,193,325
2021-05-20 01:44:33,133,193,326
2021-05-20 01:44:33,133,194,327
2021-05-20 01:44:33,134,194,328
2021-05-20 01:44:33,134,195,329
2021-05-20 01:44:34,134,196,330
2021-05-20 01:44:34,134,197,331
2021-05-20 01:44:34,135,197,332
2021-05-20 01:44:34,136,197,333
2021-05-20 01:44:34,136,198,334
2021-05-20 01:44:34,137,198,335
2021-05-20 01:44:34,137,199,336
2021-05-20 01:44:34,138,199,337
2021-05-20 01:44:34,138,200,338
2021-05-20 01:44:34,138,201,339
2021-05-20 01:44:35,138,202,340
2021-05-20 01:44:35,139,202,341
2021-05-20 01:44:35,139,203,342
2021-05-20 01:44:35,139,204,343
2021-05-20 01:44:35,140,204,344
2021-05-20 01:44:36,140,205,345
2021-05-20 01:44:36,140,206,346
2021-05-20 01:44:36,141,206,347
2021-05-20 01:44:36,142,206,348
2021-05-20 01:44:36,142,207,349
2021-05-20 01:44:36,143,207,350
2021-05-20 01:44:36,143,208,351
2021-05-20 01:44:36,143,209,352
2021-05-20 01:44:36,143,210,353
2021-05-20 01:44:36,144,210,354
2021-05-20 01:44:36,144,211,355
2021-05-20 01:44:36,144,212,356
2021-05-20 01:44:36,145,212,357
2021-05-20 01:44:37,146,212,358
2021-05-20 01:44:37,147,212,359
2021-05-20 01:44:37,147,213,360
2021-05-20 01:44:37,147,214,361
2021-05-20 01:44:37,147,215,362
2021-05-20 01:44:37,147,216,363
2021-05-20 01:44:37,147,217,364
2021-05-20 01:44:37,147,218,365
2021-05-20 01:44:38,148,218,366
2021-05-20 01:44:38,149,218,367
2021-05-20 01:44:38,149,219,368
2021-05-20 01:44:38,149,220,369
2021-05-20 01:44:38,149,221,370
2021-05-20 01:44:38,150,221,371
